fin_year,month,state_code,state_name,district_code,district_name,Approved_Labour_Budget,Average_Wage_rate_per_day_per_person,Average_days_of_employment_provided_per_Household,Differently_abled_persons_worked,Material_and_skilled_Wages,Number_of_Completed_Works,Number_of_GPs_with_NIL_exp,Number_of_Ongoing_Works,Persondays_of_Central_Liability_so_far,SC_persondays,SC_workers_against_active_workers,ST_persondays,ST_workers_against_active_workers,Total_Adm_Expenditure,Total_Exp,Total_Households_Worked,Total_Individuals_Worked,Total_No_of_Active_Job_Cards,Total_No_of_Active_Workers,Total_No_of_HHs_completed_100_Days_of_Wage_Employment,Total_No_of_JobCards_issued,Total_No_of_Workers,Total_No_of_Works_Takenup,Wages,Women_Persondays,percent_of_Category_B_Works,percent_of_Expenditure_on_Agriculture_Allied_Works,percent_of_NRM_Expenditure,percentage_payments_gererated_within_15_days,Remarks
2018-2019,Nov,31,UTTAR PRADESH,3112,SAHARANPUR,663518,167.105007498259,19,71,494.977636155,1999,1,3129,627479,266140,61276,1073,205,70.93955,1614.466016155,32760,38289,79881,123874,78,118395,173833,5128,1048.54883,196048,14,59.15,89.7,108.2,NA
2018-2019,Nov,31,UTTAR PRADESH,3117,BULANDSHAHR,169192,164.291153025103,18,10,52.428605265,1444,68,1551,185035,42914,11156,0,0,14.52775,370.952490265,10176,11196,29376,41578,33,106804,138976,2995,303.996135,48439,36,78.05,92.97,125.46,NA
2018-2019,Nov,31,UTTAR PRADESH,3118,ALIGARH,1247098,172.318847336432,29,92,2332.747560978,3815,8,3118,1398500,448854,46286,1611,161,163.00284,4905.629480978,48219,53626,104826,150174,84,193363,262324,6933,2409.87908,332341,24,60.22,69.88,100.66,NA
2018-2019,Nov,31,UTTAR PRADESH,3127,SHAHJAHANPUR,2121400,169.745054358602,26,164,1844.40205344,10050,1,14141,1553388,488677,86689,470,81,156.08508,4637.28643844,59424,69283,156132,259553,142,309183,459452,24191,2636.799305,343025,73,51.46,36.84,121.21,NA
2018-2019,Nov,31,UTTAR PRADESH,3140,LALITPUR,2802826,163.57239663138,41,108,2322.05267152999,4183,0,8436,2577910,626118,60781,210136,18674,166.58881,6705.39065152999,62382,89965,117739,235194,2423,174854,330626,12619,4216.74917,952687,59,77.33,76.8,100.55,NA
2018-2019,Nov,31,UTTAR PRADESH,3145,PRAYAGRAJ,3139140,169.94964556324,32,178,2099.754718792,26434,0,25329,2551513,1275261,162985,2480,101,313.27703,6749.319048792,77918,99102,178858,298653,263,368104,569725,51763,4336.2873,989798,82,71.74,31.54,113.31,NA
2018-2019,Sep,31,UTTAR PRADESH,3111,RAMPUR,966773,189.214254793614,25,33,712.725509586,1426,24,3500,667607,138332,28308,1200,151,75.6596,2051.592719586,25895,27981,85642,120427,15,159863,210969,4926,1263.20761,112457,52,68.77,67.12,143.38,NA
2018-2019,Sep,31,UTTAR PRADESH,3122,ETAH,1208833,171.612240955074,31,45,361.83710605,2522,10,6829,773804,223281,33645,189,12,57.32293,1747.10242105,24589,27562,68329,109654,64,149350,219662,9351,1327.942385,200186,73,79.34,69.32,138.25,NA
2018-2019,Sep,31,UTTAR PRADESH,3133,RAE BARELI,1764520,163.705877883476,26,128,2874.412759181,15257,0,18525,1842568,592736,115787,4072,825,214.95712,6105.761999181,69139,82074,178360,327352,147,311646,517401,33782,3016.39212,728238,66,40.97,31.78,100.44,NA
2018-2019,Sep,31,UTTAR PRADESH,3149,AYODHYA,2343391,174.231017968671,29,96,1683.388561742,12146,1,12264,1484417,601051,87647,3500,366,139.6868,4409.390211742,49990,57553,128950,212593,336,228819,348566,24410,2586.31485,584399,67,66.35,64.72,119.06,NA
