fin_year,month,state_code,state_name,district_code,district_name,Approved_Labour_Budget,Average_Wage_rate_per_day_per_person,Average_days_of_employment_provided_per_Household,Differently_abled_persons_worked,Material_and_skilled_Wages,Number_of_Completed_Works,Number_of_GPs_with_NIL_exp,Number_of_Ongoing_Works,Persondays_of_Central_Liability_so_far,SC_persondays,SC_workers_against_active_workers,ST_persondays,ST_workers_against_active_workers,Total_Adm_Expenditure,Total_Exp,Total_Households_Worked,Total_Individuals_Worked,Total_No_of_Active_Job_Cards,Total_No_of_Active_Workers,Total_No_of_HHs_completed_100_Days_of_Wage_Employment,Total_No_of_JobCards_issued,Total_No_of_Workers,Total_No_of_Works_Takenup,Wages,Women_Persondays,percent_of_Category_B_Works,percent_of_Expenditure_on_Agriculture_Allied_Works,percent_of_NRM_Expenditure,percentage_payments_gererated_within_15_days,Remarks
2018-2019,Sep,31,UTTAR PRADESH,3150,SULTANPUR,2012964,177.941460124863,35,85,1960.69202009,11002,4,24440,2132256,641207,61262,5373,398,251.07627,6005.93575009,60078,68890,135871,199701,54,290658,393833,35442,3794.16746,854325,83,55.41,32.63,115.38,NA
2018-2019,Sep,31,UTTAR PRADESH,3155,DEORIA,2064861,191.781871041699,33,50,1042.371390513,4587,3,9590,2001174,616096,49733,60476,4653,166.10082,5046.361150513,60502,63425,127681,160928,87,236645,289071,14177,3837.88894,703921,50,80.38,77.7,101.11,NA
2018-2019,Sep,31,UTTAR PRADESH,3175,BALRAMPUR,1580911,187.360937404872,30,56,427.934710915,4248,0,5997,1379724,271937,32105,25600,2777,109.7829,3122.781430915,45951,52252,109130,161021,116,182434,252760,10245,2585.06382,423715,62,66.57,76.43,128.62,NA
2018-2019,Sep,31,UTTAR PRADESH,3177,CHITRAKOOT,1686730,164.767476564903,32,50,494.690638226,5586,0,13388,1011197,520398,83692,126,6,70.0386,2230.853018226,31524,48075,80189,166146,282,125969,246700,18974,1666.12378,448986,74,69.93,59.29,103.84,NA
2018-2019,Sep,31,UTTAR PRADESH,3178,AMBEDKAR NAGAR,1690489,173.328036525322,31,31,1077.909236683,6605,2,13384,1445682,607612,99900,2212,497,132.58189,3716.263351683,46044,53608,115053,208030,75,246023,393235,19989,2505.772225,614911,75,80.02,65.08,103.39,NA
2018-2019,March,31,UTTAR PRADESH,3111,RAMPUR,1493148,178.114549406692,39,61,1614.181410146,3715,2,3613,1824095,406020,28519,2331,150,248.4072,5111.567200146,45659,50051,86403,121102,382,161265,212280,7328,3248.97859,295903,40,41.94,44.85,124.96,NA
2018-2019,March,31,UTTAR PRADESH,3120,AGRA,1578091,177.252793438645,38,75,1251.47593057,4638,15,2353,1478597,450512,37922,12237,931,260.72045,4133.05086677,38857,46422,73656,109403,270,157826,214990,6991,2620.8544862,431924,49,65.67,62.03,106.59,NA
2018-2019,March,31,UTTAR PRADESH,3123,MAINPURI,1808193,172.67102386254,41,106,925.301525261999,7454,8,5855,2038467,626286,42671,2357,148,284.21729,4729.360655262,49016,60149,86712,131446,651,158421,224880,13309,3519.84184,584541,71,61.01,52.4,113.53,NA
2018-2019,March,31,UTTAR PRADESH,3124,BUDAUN,2852643,177.514348473244,38,275,1467.802542729,11721,3,10578,2767960,513675,43615,1432,89,445.23931,6826.568012729,71234,80026,128614,182357,683,258307,344202,22299,4913.52616,566564,66,62.68,56.55,118.01,NA
2018-2019,March,31,UTTAR PRADESH,3128,KHERI,4471267,173.68113510463,39,421,1145.8202122833,44846,0,16839,5468236,1953862,166848,29640,6899,610.06326,11253.1778272833,138267,177977,257675,427393,971,524384,761006,61685,9497.294355,1528057,86,73.08,45.51,105.85,NA
2018-2019,March,31,UTTAR PRADESH,3140,LALITPUR,3218856,173.385457805668,50,123,3386.31311388701,9261,0,4268,3665125,885868,60862,285913,18667,350.92591,10092.032784287,73237,106613,118634,236327,5544,176670,333061,13529,6354.7937604,1333074,59,72.77,71.31,100.42,NA
2018-2019,March,31,UTTAR PRADESH,3146,BAHRAICH,4766790,179.00689169226,44,371,3887.307204305,48469,0,21070,6002932,1022118,75340,36108,2812,795.52199,15428.491177905,135807,168776,215285,352412,1255,445414,644903,69539,10745.6619836,2129191,85,59.91,34.98,109.14,NA
2018-2019,March,31,UTTAR PRADESH,3147,GONDA,5018642,182.303709737541,50,167,7604.01929906499,28243,160,18489,6588768,1353792,52511,16853,492,1091.67743,20707.265219065,130244,141405,183149,228310,2080,331098,398497,46732,12011.56849,2402057,70,51.77,54.6,117.68,NA
2018-2019,March,31,UTTAR PRADESH,3150,SULTANPUR,3059164,181.520395036522,45,120,3772.507636306,28977,2,18113,3969152,1108394,61109,9123,397,615.01451,11592.342536306,86428,99571,136280,199835,779,293948,397270,47090,7204.82039,1597503,80,48.67,29.77,116.37,NA
2018-2019,March,31,UTTAR PRADESH,3154,GORAKHPUR,4696838,176.444703576163,41,117,1378.580058235,19570,0,9362,4128531,1144240,70556,11141,754,560.01562,9223.169963235,99799,112351,164929,238205,602,376528,498895,28932,7284.574285,1625794,73,53.17,56.17,114.86,NA
2018-2019,March,31,UTTAR PRADESH,3158,JAUNPUR,4217070,186.892800721841,46,118,4750.77179311799,26775,15,14072,4599350,1746239,98720,18642,1512,797.73189,14144.357713118,98642,105892,177150,229785,2260,400194,493473,40847,8595.85403,2012213,70,84.63,65.06,107.69,NA
2018-2019,March,31,UTTAR PRADESH,3162,MIRZAPUR,2592113,177.878603627612,41,104,2979.708085473,22665,1,14609,2767385,1233431,118021,28368,2686,459.53385,8361.827730473,66571,91368,125898,238163,463,301282,506224,37274,4922.585795,1246517,83,59.09,35.87,115.69,NA
2018-2019,March,31,UTTAR PRADESH,3163,SONBHADRA,2648434,177.132295709978,39,182,3433.393558077,22082,4,11208,3320659,1058353,123205,1000305,120578,434.82669,9750.179767477,84986,122103,153409,377426,967,343063,758985,33290,5881.9595194,1488477,84,72.34,44.01,104.5,NA
2018-2019,March,31,UTTAR PRADESH,3164,GAUTAM BUDDHA NAGAR,10489,176.176683562636,22,0,0,164,76,57,9667,2193,548,76,14,0.62298,17.65398,433,489,1270,1769,1,16005,18473,221,17.031,1451,23,11.37,91.83,112.59,NA
2018-2019,Aug,31,UTTAR PRADESH,3120,AGRA,1014999,173.569779932598,26,58,339.687458588,2195,40,2998,821930,265825,37796,7087,931,55.4386,1821.748150788,30473,35927,72947,108542,10,155964,212619,5193,1426.6220922,231708,49,85.78,84.91,107.05,NA
2018-2019,Aug,31,UTTAR PRADESH,3123,MAINPURI,779170,163.633404568299,30,81,368.499670929,3081,12,5957,1087013,358521,42375,1359,146,84.16644,2231.382490929,35286,42331,85634,130037,141,155610,221235,9038,1778.71638,316664,72,67.88,60.52,106.05,NA
2018-2019,Aug,31,UTTAR PRADESH,3128,KHERI,1955127,167.999483887895,26,272,238.2396837033,11036,4,36128,2370609,937058,167786,16790,6897,151.58826,4372.4388287033,90197,112873,257346,428182,78,519474,756065,47164,3982.610885,679428,87,81.32,57.15,110.13,NA
2018-2019,Aug,31,UTTAR PRADESH,3131,UNNAO,1917276,162.16433893483,27,92,589.484227434,12020,1,16166,1436878,532995,86801,2462,537,127.23135,3046.819287434,52167,58331,150247,223591,28,365108,481460,28186,2330.10371,413693,84,71.56,47.27,105.59,NA
2018-2019,Aug,31,UTTAR PRADESH,3132,LUCKNOW,696872,179.24666223602,25,29,426.838270435,3772,49,5455,558233,376669,85584,1268,324,55.146,1482.598290435,21692,25197,69426,125029,17,190268,293771,9227,1000.61402,177990,79,65.23,65.16,120.97,NA
2018-2019,Aug,31,UTTAR PRADESH,3139,JHANSI,2546939,174.280059710769,42,162,1671.861098404,5333,1,12391,1808384,611228,84685,20562,1851,174.95964,4998.473453404,43051,63228,108133,225484,848,186524,371882,17724,3151.652715,674146,52,61.7,58.35,117.21,NA
2018-2019,Aug,31,UTTAR PRADESH,3148,BARABANKI,1106804,197.656279981646,23,44,1401.09214257,10736,9,14669,1222623,524307,135989,927,157,154.764,3972.44728257,51744,60844,196019,323858,111,447275,646082,25405,2416.59114,352607,70,60.96,56.89,102.61,NA
2018-2019,Aug,31,UTTAR PRADESH,3149,AYODHYA,1906492,174.153315997809,27,88,1642.119000742,11603,2,11408,1295990,542781,87594,3236,365,139.6868,4038.815360742,46898,53583,128754,212374,271,228523,348231,23011,2257.00956,511295,66,69.09,67.53,119.8,NA
2018-2019,Aug,31,UTTAR PRADESH,3152,MAHARAJGANJ,2055110,184.672636545058,29,521,2487.671564243,11507,0,8345,3278643,884390,103441,15857,2766,294.84343,8837.271465243,112518,140156,211100,387988,140,325171,554402,19852,6054.756471,1263771,70,59.65,61.2,109.92,NA
2018-2019,Aug,31,UTTAR PRADESH,3169,AURAIYA,469103,164.771194944064,23,29,219.41617954,3436,1,12074,467411,237297,52030,1948,573,41.31908,1030.89394954,20262,22343,70504,106446,5,131028,184600,15510,770.15869,165986,83,58.27,28.83,109.05,NA
2018-2019,Aug,31,UTTAR PRADESH,3173,SANT RAVIDAS NAGAR,402473,169.651418499083,28,10,358.749872798,3350,6,10382,519669,224720,44883,3238,368,65.07,1305.445702798,18081,23796,49972,101924,12,130901,234708,13732,881.62583,220304,81,85.45,42.3,121.11,NA
2018-2019,Aug,31,UTTAR PRADESH,3174,SANT KABEER NAGAR,1860870,180.483847279714,33,103,1867.218562324,6281,9,14945,2385852,870122,93519,4592,515,220.16865,6393.464692324,70740,84187,143001,246898,158,268132,425582,21226,4306.07748,1051908,70,68.54,68.58,102.46,NA
2018-2019,Aug,31,UTTAR PRADESH,3175,BALRAMPUR,1399182,187.40194123214,29,55,416.623238917,3803,4,5838,1299690,257968,32074,24281,2774,109.7829,2962.050428917,44676,50685,108820,160636,85,181994,252227,9641,2435.64429,399116,61,68.37,77.68,129.16,NA
2018-2019,Aug,31,UTTAR PRADESH,3176,SHRAVASTI,700356,175.807533477968,25,65,339.972767743,3760,2,3577,534680,199243,50302,3032,1345,42.234,1322.214487743,21227,25693,72125,137461,15,125980,214296,7337,940.00772,185358,68,83.67,70.66,125.9,NA
2018-2019,July,31,UTTAR PRADESH,3110,MORADABAD,739895,166.999874032462,27,128,322.280583105,3672,68,4989,1119336,273138,35806,177,17,68.07108,2259.641373105,41214,50295,92149,148026,62,157447,233327,8661,1869.28971,347847,69,95.09,83.94,107.46,NA
2018-2019,July,31,UTTAR PRADESH,3128,KHERI,1258363,160.763071559263,24,248,183.0859795473,6962,5,39562,2099826,832495,167807,14902,6898,85.84249,3644.6732445473,84728,105538,257147,428040,27,518806,755271,46524,3375.744775,600309,87,83.79,58.09,110.5,NA
2018-2019,July,31,UTTAR PRADESH,3130,HARDOI,1832899,175.664381899274,26,121,1259.315692925,10221,14,27997,2332039,924641,145906,2303,378,198.59075,5554.468337925,88995,98530,250818,354512,21,562203,728271,38218,4096.561895,595611,78,81.65,62.64,130.55,NA
2018-2019,July,31,UTTAR PRADESH,3135,ETAWAH,274809,181.225881487479,24,25,296.489505847,2028,13,9552,486649,218344,42873,1230,146,55.92277,1234.346215847,20074,21740,62560,93612,8,141461,192861,11580,881.93394,140029,72,53.62,57.31,122.91,NA
2018-2019,July,31,UTTAR PRADESH,3144,PRATAPGARH,938954,151.69743090689,30,63,2993.69307227,2983,106,38122,2494460,1293330,125427,2492,423,208.61727,6986.34207727,81221,89578,187136,259887,74,369621,508687,41105,3784.031735,1149943,80,56.57,51.52,113.26,NA
2018-2019,July,31,UTTAR PRADESH,3145,PRAYAGRAJ,1833199,155.454849281368,25,129,1210.750503502,16220,1,25608,1603186,876931,163472,1631,98,136.28722,3839.268103502,61862,77794,178723,299084,47,366965,568957,41828,2492.23038,627466,82,80.78,31.43,112.21,NA
2018-2019,July,31,UTTAR PRADESH,3146,BAHRAICH,1716044,180.737544907825,29,163,1334.457064078,11454,2,37865,2568539,504024,76229,12377,2807,196.716,6173.487392678,85913,104545,213363,351273,62,433514,631927,49319,4642.3143286,969044,82,69.82,49.35,112.38,NA
2018-2019,July,31,UTTAR PRADESH,3152,MAHARAJGANJ,1400312,185.929829516432,28,511,1840.761145023,10661,0,6050,3161771,855645,103459,15489,2766,192.10524,7911.541815023,110263,136873,211019,387949,113,324812,554005,16711,5878.67543,1219172,68,63.56,63.8,109.78,NA
2018-2019,July,31,UTTAR PRADESH,3155,DEORIA,1186204,181.992632158008,31,48,870.335625234,3413,3,9761,1834187,568359,49728,55938,4652,120.15672,4328.577545234,58024,60760,127638,160881,39,236509,288919,13174,3338.0852,638441,48,85.77,83.17,101.16,NA
2018-2019,July,31,UTTAR PRADESH,3157,AZAMGARH,2494424,167.280591798771,29,102,2354.791312769,7349,50,20671,3390443,1330499,120819,3488,375,213.1894,8239.533827769,116190,124555,235408,300333,30,481833,584046,28020,5671.553115,1393370,68,74.7,76.21,132.59,NA
2018-2019,July,31,UTTAR PRADESH,3159,BALLIA,1902044,157.282913399967,29,82,1200.369323045,3259,18,19460,1915542,319008,36219,47635,4775,138.4615,4351.651088045,64013,71538,151503,219808,58,292678,397839,22719,3012.820265,715218,71,82.39,78.99,154.91,NA
2018-2019,July,31,UTTAR PRADESH,3163,SONBHADRA,870739,160.084110298604,27,133,1099.080451964,5449,8,21873,1607781,550452,123193,461480,120699,127.91896,3800.801321364,58338,81902,152718,377010,58,340505,755582,27322,2573.8019094,750767,85,84.11,55.21,105.34,NA
2018-2019,July,31,UTTAR PRADESH,3173,SANT RAVIDAS NAGAR,261874,168.060328370453,27,10,304.369192357,2401,9,10898,451015,196168,44918,3012,369,40.36,1102.706482357,16677,21925,50012,102013,9,130785,234611,13299,757.97729,191868,81,86.39,42.31,123.44,NA
2018-2019,July,31,UTTAR PRADESH,3175,BALRAMPUR,941804,184.931001003512,27,54,341.589555252,2980,13,5945,1195800,238836,32052,22468,2774,81.3857,2634.380165252,43166,48819,108677,160471,65,181685,251886,8925,2211.40491,369205,60,70.6,80.19,129.21,NA
2018-2019,July,31,UTTAR PRADESH,3177,CHITRAKOOT,1019934,155.404059622051,26,38,420.601376357,3742,0,13161,685384,355874,83642,112,4,55.942,1541.657936357,25869,38999,79849,165747,71,125507,246133,16903,1065.11456,309086,73,72.69,60.06,104.16,NA
2018-2019,July,31,UTTAR PRADESH,3178,AMBEDKAR NAGAR,959149,157.561262202193,29,30,963.693988632,4397,6,14790,1240863,533820,99925,1624,497,108.36149,3027.174883632,42445,48996,114914,207911,36,245731,392912,19187,1955.119405,525643,75,82.76,67.22,102.38,NA
2018-2019,Jan,31,UTTAR PRADESH,3111,RAMPUR,1317565,171.636028569406,37,60,1128.638958487,2977,3,4059,1667238,369506,28526,2154,151,93.9504,4084.170448487,44070,48219,86371,121166,284,160999,212139,7036,2861.58109,267433,41,44.78,47.2,122.98,NA
2018-2019,Jan,31,UTTAR PRADESH,3112,SAHARANPUR,846358,160.041568133316,23,81,526.704853855,2130,1,3526,901556,390920,61407,1571,205,75.68155,2045.250763855,38978,46044,80234,124324,113,119143,174817,5656,1442.86436,284639,13,65.3,90.21,109.98,NA
2018-2019,Jan,31,UTTAR PRADESH,3117,BULANDSHAHR,183436,161.320067000395,20,15,52.428605265,1651,62,1601,235521,55003,11187,0,0,14.52775,446.898990265,11624,12851,29520,41759,45,107620,139943,3252,379.942635,61428,35,77.84,92.6,123.24,NA
2018-2019,Jan,31,UTTAR PRADESH,3119,MATHURA,958257,170.279413047333,37,33,790.384978516,1195,18,4211,1043355,372205,40222,2440,247,94.55024,2661.553988516,27855,38773,57799,100945,146,129884,215982,5406,1776.61877,351208,20,60.51,77.9,129.63,NA
2018-2019,Jan,31,UTTAR PRADESH,3124,BUDAUN,2469544,167.673529545369,35,258,1112.304681448,9717,3,11779,2333496,440920,43642,1158,89,188.2825,5213.242286448,66138,73724,128598,182408,372,258015,343974,21496,3912.655105,469582,67,63.14,59.83,115.68,NA
2018-2019,Jan,31,UTTAR PRADESH,3126,PILIBHIT,1923140,165.812822526285,30,209,3199.282562378,11865,0,7428,2158545,416957,50278,3997,504,200.2837,6978.710652378,71366,86862,131071,224016,477,278559,411381,19293,3579.14439,468779,68,54.36,49.27,102.55,NA
2018-2019,Jan,31,UTTAR PRADESH,3137,KANPUR NAGAR,893589,158.277035670896,32,76,240.98184201,4688,2,6264,775366,288144,49401,14391,2382,63.56357,1531.77173241,23888,27869,62561,116503,84,200091,308052,10952,1227.2263204,201880,71,71.16,62.21,112.26,NA
2018-2019,Jan,31,UTTAR PRADESH,3141,HAMIRPUR,1990654,160.764654780467,42,54,1353.80147475,6693,6,9602,1946515,492384,52160,1039,74,159.23603,4642.34562475,45588,67884,88594,179195,931,163520,315659,16295,3129.30812,749895,60,66.04,68.59,112.13,NA
2018-2019,Jan,31,UTTAR PRADESH,3143,FATEHPUR,2948497,155.36523278735,40,133,1776.918278911,18004,0,17511,2935254,1250711,98531,243,19,205.919,6543.201488911,72602,83421,141202,211974,441,268838,373428,35515,4560.36421,1262594,85,67.04,48.35,113.46,NA
2018-2019,Jan,31,UTTAR PRADESH,3155,DEORIA,3052079,178.485209061384,41,61,1952.082844119,8357,3,7632,2957385,890927,49781,87088,4664,243.78902,7474.366664119,71165,75106,128290,161590,402,238593,291238,15989,5278.4948,1041276,48,68.22,64.58,100.79,NA
2018-2019,Jan,31,UTTAR PRADESH,3159,BALLIA,3373143,172.952692639638,41,107,1954.079543697,17470,2,14015,3627797,571576,36162,91572,4775,295.12538,8523.577518697,87178,97608,152963,220881,533,298054,403219,31485,6274.372595,1387287,71,66.42,57.56,128.15,NA
2018-2019,Jan,31,UTTAR PRADESH,3163,SONBHADRA,2053002,171.96669629261,37,170,2107.464005782,18206,7,14263,2901961,952830,123291,881771,120717,249.569,7347.439465182,78152,111804,153362,377672,653,342615,758589,32469,4990.4064594,1296790,85,76.06,45.13,104.78,NA
2018-2019,Jan,31,UTTAR PRADESH,3171,CHANDAULI,1793485,172.619777300901,39,159,1697.647991824,8230,2,11538,2028477,681170,76995,10032,1019,174.9639,5374.164371824,51852,74598,95666,208162,407,233856,444138,19768,3501.55248,735871,69,66.24,49.06,108.91,NA
2018-2019,Jan,31,UTTAR PRADESH,3174,SANT KABEER NAGAR,3467350,172.529129010131,42,117,3135.937136281,13623,2,10960,3659170,1311497,93549,6252,515,323.10031,9772.171576281,86126,103964,144146,248061,901,270610,428397,24583,6313.13413,1617648,66,62.91,62.13,103.46,NA
2018-2019,Jan,31,UTTAR PRADESH,3181,AMETHI,2732818,170.694957919848,41,67,2018.722564981,10865,3,19821,2626654,797865,57979,12496,811,242.95371,6745.242214981,63378,74791,111141,185959,784,227466,346137,30686,4483.56594,876101,74,51.68,44.73,108.21,NA
2018-2019,June,31,UTTAR PRADESH,3109,BIJNOR,301432,132.344458294827,11,106,366.995224268,2221,236,5871,465290,194201,108633,873,581,77.17298,1059.953734268,41315,49319,145486,243682,2,206877,324796,8092,615.78553,131690,43,66.41,73.67,130.45,NA
2018-2019,June,31,UTTAR PRADESH,3110,MORADABAD,554921,130.30891914866,25,110,297.935383883,3043,75,5239,985834,241546,35794,165,17,57.65308,1640.218093883,38851,47314,92038,147891,28,157357,233205,8282,1284.62963,311719,70,95.4,81.66,105.44,NA
2018-2019,June,31,UTTAR PRADESH,3118,ALIGARH,393593,151.115080000659,18,60,1161.312471662,1678,46,3684,668057,212737,46234,721,163,76.96139,2247.808731662,35542,39371,104519,149923,9,192856,261814,5362,1009.53487,148424,25,77.64,77.85,100.85,NA
2018-2019,June,31,UTTAR PRADESH,3120,AGRA,448178,143.747636517745,20,48,313.528773993,1269,96,3546,507315,166109,37681,4013,931,46.38718,1089.169276193,24473,28564,72563,107995,0,155142,211455,4815,729.2533222,142994,52,88.88,83.74,107.2,NA
2018-2019,June,31,UTTAR PRADESH,3121,FIROZABAD,571500,155.235095030651,22,31,172.122513584,2518,37,2791,471269,233675,38493,820,107,41.62453,945.321923584,20776,23498,66273,89356,2,135559,175277,5309,731.57488,139615,58,90.33,74.49,112.66,NA
2018-2019,June,31,UTTAR PRADESH,3127,SHAHJAHANPUR,1000451,146.529941359806,17,94,664.96996363,4119,51,14574,625339,206239,86537,198,80,74.75985,1656.03868363,36497,41543,154458,257583,1,305915,455643,18693,916.30887,146036,73,60.68,40.54,131.07,NA
2018-2019,June,31,UTTAR PRADESH,3130,HARDOI,1453175,155.452041116977,22,97,1147.616584668,8319,86,29274,1632513,657967,145891,1440,378,193.59075,3878.982114668,73185,80965,250184,353748,4,560453,726290,37593,2537.77478,432576,79,80.65,54.95,137.45,NA
2018-2019,June,31,UTTAR PRADESH,3136,KANPUR DEHAT,214295,172.196786179061,18,44,221.26134482,1134,28,14220,265105,111727,55083,1556,842,41.50028,719.26391482,14244,16360,70666,127629,0,212536,328011,15354,456.50229,94147,81,83.79,42.62,111.56,NA
2018-2019,June,31,UTTAR PRADESH,3142,BANDA,509257,139.972893848795,25,18,968.874934328,4166,0,15890,675640,214870,84769,387,173,100.29561,2014.883404328,26870,36752,121875,273413,9,211413,446555,20056,945.71286,290396,80,79.15,50.8,100.94,NA
2018-2019,June,31,UTTAR PRADESH,3146,BAHRAICH,1668376,162.161438336548,27,139,1211.248191773,8464,15,38786,2140417,427325,76253,10214,2807,179.506,4861.685185373,78666,95452,213125,351099,32,432141,630434,47250,3470.9309936,814510,82,72.61,51.44,113.66,NA
2018-2019,June,31,UTTAR PRADESH,3149,AYODHYA,912989,143.401495698387,21,63,1374.003394699,8263,15,11962,760180,327585,87422,2027,365,84.6868,2548.799684699,35259,39809,128155,211674,12,227549,347052,20225,1090.10949,313971,67,76.75,56.76,117.93,NA
2018-2019,June,31,UTTAR PRADESH,3155,DEORIA,898640,153.505160633716,27,43,719.457261804,2949,11,9936,1501366,461660,49715,46864,4646,114.63072,3138.762271804,53997,56476,127410,160629,25,236019,288386,12885,2304.67429,518492,48,85.19,81.03,101.41,NA
2018-2019,June,31,UTTAR PRADESH,3159,BALLIA,1755733,120.56437005432,24,68,1173.142500265,2474,52,19493,1330075,226864,36154,33476,4760,137.0896,2913.828645265,54399,60643,150616,218871,8,291288,396346,21967,1603.596545,496918,72,82.56,75.35,179.16,NA
2018-2019,June,31,UTTAR PRADESH,3160,GHAZIPUR,713519,85.7793459907207,24,47,839.428697695,2131,255,14754,1305272,332323,74635,9156,1345,81.82985,2040.912332695,53571,61803,158331,262412,23,340482,523780,16885,1119.653785,475191,66,74.27,63.97,186.17,NA
2018-2019,June,31,UTTAR PRADESH,3165,BAGHPAT,11227,183.287719719239,19,3,15.874021023,251,69,401,16669,6378,3706,0,11,1.168,47.594251023,862,971,7628,11406,0,31892,44276,652,30.55223,4529,6,34.38,55.77,109.28,NA
2018-2019,June,31,UTTAR PRADESH,3180,KASHGANJ,475017,138.946323252027,19,66,378.13353704,1046,9,1663,434732,93952,24918,466,71,39.63327,1021.81093704,21847,25735,60788,112398,1,129670,206172,2709,604.04413,102486,31,66.53,77.42,115.84,NA
2018-2019,June,31,UTTAR PRADESH,3183,SHAMLI,75312,129.565052116506,21,2,61.3541746,84,36,798,98913,8866,2571,27,16,15.529416,205.0402706,4520,4894,17365,21437,0,35697,42772,882,128.15668,24255,8,73.44,85.48,125.44,NA
2018-2019,Feb,31,UTTAR PRADESH,3109,BIJNOR,1572739,170.08154094203,21,217,758.996396268,6803,1,5404,1771981,722463,108654,3848,578,129.31767,3902.126656268,82234,101714,146199,243943,258,208814,326640,12207,3013.81259,469822,32,55.11,72.85,112.45,NA
2018-2019,Feb,31,UTTAR PRADESH,3115,MEERUT,339543,163.075372063916,37,21,108.607863535,1125,9,675,328371,164030,12646,224,8,6.88701,650.987103535,8684,10451,19334,25799,91,53717,66231,1800,535.49223,109358,44,62.4,79.48,130.32,NA
2018-2019,Feb,31,UTTAR PRADESH,3116,GHAZIABAD,1261,161.968085106383,12,0,0,3,161,3,188,51,19,0,0,0,0.3045,15,15,71,200,0,17610,25865,6,0.3045,100,0,36.17,64.89,100,NA
2018-2019,Feb,31,UTTAR PRADESH,3118,ALIGARH,1837588,173.680669971277,32,108,2335.435560978,4548,7,3448,1751896,554333,46301,1961,161,167.83884,5545.979110978,54238,60502,105078,150393,133,194670,263728,7996,3042.70471,411613,25,62.35,71.73,101.1,NA
