fin_year,month,state_code,state_name,district_code,district_name,Approved_Labour_Budget,Average_Wage_rate_per_day_per_person,Average_days_of_employment_provided_per_Household,Differently_abled_persons_worked,Material_and_skilled_Wages,Number_of_Completed_Works,Number_of_GPs_with_NIL_exp,Number_of_Ongoing_Works,Persondays_of_Central_Liability_so_far,SC_persondays,SC_workers_against_active_workers,ST_persondays,ST_workers_against_active_workers,Total_Adm_Expenditure,Total_Exp,Total_Households_Worked,Total_Individuals_Worked,Total_No_of_Active_Job_Cards,Total_No_of_Active_Workers,Total_No_of_HHs_completed_100_Days_of_Wage_Employment,Total_No_of_JobCards_issued,Total_No_of_Workers,Total_No_of_Works_Takenup,Wages,Women_Persondays,percent_of_Category_B_Works,percent_of_Expenditure_on_Agriculture_Allied_Works,percent_of_NRM_Expenditure,percentage_payments_gererated_within_15_days,Remarks
2019-2020,Dec,31,UTTAR PRADESH,3180,KASHGANJ,1330940,177.264258391841,41,111,861.770333178,2897,0,3121,1550792,316478,23356,1552,64,126.22075,3736.991021178,37260,45119,59180,107972,991,132867,209297,6018,2748.999938,398994,25,70.51,87.32,100.93,NA
2019-2020,Nov,31,UTTAR PRADESH,3116,GHAZIABAD,0,161.318181818182,5,0,0,4,161,8,88,44,25,0,0,0,0.14196,15,15,77,199,0,17650,25904,12,0.14196,42,41,84.99,16.82,100,NA
2019-2020,Nov,31,UTTAR PRADESH,3117,BULANDSHAHR,150972,175.829529876998,18,16,39.13456598,841,29,2803,215199,51660,9301,0,0,10.4555,427.97345598,11344,12619,26446,36696,15,110624,143181,3644,378.38339,55913,13,84.16,88.03,103.34,NA
2019-2020,Nov,31,UTTAR PRADESH,3125,BAREILLY,2279681,167.494851665789,29,186,469.389221265,8218,3,11802,1945775,497981,57531,422,55,91.47885,3819.941021265,65691,76855,130778,215681,355,266405,395060,20020,3259.07295,309866,52,73.7,78.32,102.68,NA
2019-2020,Nov,31,UTTAR PRADESH,3141,HAMIRPUR,2269113,173.738835295626,45,77,1610.097240879,4426,0,9566,2121328,477196,49544,769,76,130.37829,5426.046090879,46764,68537,90605,180278,1146,169701,323530,13992,3685.57056,837448,52,64.2,72.96,108.64,NA
2019-2020,Nov,31,UTTAR PRADESH,3149,AYODHYA,2874722,174.370615996338,38,105,1705.46667915,8337,0,9389,2308991,808634,84083,3691,377,221.624,5953.29250915,60762,69494,127149,208300,498,237925,359544,17726,4026.20183,914288,54,73.69,67.6,105.59,NA
2019-2020,Nov,31,UTTAR PRADESH,3150,SULTANPUR,2934886,173.475982721367,42,79,1552.903818902,11388,2,17994,2856939,657614,60260,6321,439,229.08819,6738.095014902,66945,74064,145142,208240,400,319100,426295,29382,4956.103006,1137537,73,67.87,49.45,100.2,NA
2019-2020,Nov,31,UTTAR PRADESH,3151,SIDDHARTH NAGAR,7237609,173.287844502072,34,93,4266.902182871,5845,2,9174,5005340,1061725,77080,5868,345,469.31061,13409.858588871,145470,162590,256656,343891,202,377090,488926,15019,8673.64579599999,2453577,31,50.33,56.6,105.49,NA
2019-2020,Nov,31,UTTAR PRADESH,3155,DEORIA,2902351,168.526535487005,38,58,1320.109521571,4757,1,7787,2340251,685603,47366,73711,4628,223.38884,5487.442293571,61301,64337,128404,161200,261,249162,302620,12544,3943.943932,818706,44,77.99,79.16,100.06,NA
2019-2020,Nov,31,UTTAR PRADESH,3158,JAUNPUR,3914095,170.241888464334,42,179,3262.564731838,11844,5,16719,4511920,1667571,101335,23373,1529,404.05105,11347.793595838,105516,111540,195534,245907,1138,440258,535030,28563,7681.177814,2006836,52,70.08,69.57,102.33,NA
2019-2020,Nov,31,UTTAR PRADESH,3161,VARANASI,1009249,173.860056934212,29,72,203.424885814,4473,1,9212,953908,344657,54155,4091,522,86.52907,1948.418947714,32178,40747,70627,133348,109,159735,257531,13685,1658.4649919,467025,64,47.31,37.03,104.23,NA
2019-2020,Nov,31,UTTAR PRADESH,3164,GAUTAM BUDDHA NAGAR,7549,184.089448842875,22,0,0,260,85,69,13136,4117,533,432,19,0.262,24.44399,578,655,1234,1637,0,16280,18793,329,24.18199,2570,41,20.71,83.75,99.58,NA
2019-2020,Nov,31,UTTAR PRADESH,3175,BALRAMPUR,3134184,170.124495608988,44,79,581.076138222,1733,0,5946,2694140,505776,30318,42826,2909,207.45369,5371.921914222,60458,67941,107184,155263,973,190533,261409,7679,4583.392086,815533,36,76.1,82.57,101.87,NA
2019-2020,Nov,31,UTTAR PRADESH,3182,HAPUR,94358,179.749868275019,25,12,10.54143712,349,1,319,89201,42819,3695,7,5,2.22056,173.10067712,3554,3900,8372,9602,5,13165,15110,668,160.33868,31578,43,48.65,69.08,99.99,NA
2019-2020,July,31,UTTAR PRADESH,3110,MORADABAD,855581,163.889259179858,28,111,102.157512628,2823,69,3336,1138144,271804,33517,454,34,24.538,1991.991282628,40082,48648,88044,140384,103,162983,239593,6159,1865.29577,349117,36,88.08,83.27,102.14,NA
2019-2020,July,31,UTTAR PRADESH,3112,SAHARANPUR,446141,178.094572560861,17,78,41.27102653,961,12,4440,529900,231290,58004,1272,224,7.802,992.79616653,29514,34381,76469,118441,21,122561,178903,5401,943.72314,185324,9,68.79,94.29,107.05,NA
2019-2020,July,31,UTTAR PRADESH,3133,RAE BARELI,1877861,163.793137648233,27,118,139.6031034,8073,0,13986,1545374,480783,110371,3410,790,70.346,2741.1656664,55559,64876,173501,317478,112,318393,525165,22059,2531.216563,600654,52,48.84,48.72,100.07,NA
2019-2020,July,31,UTTAR PRADESH,3136,KANPUR DEHAT,873056,157.747558766125,24,109,17.033445,2318,2,8079,514412,176324,53420,3305,846,6.01465,834.520467,20917,23868,73019,128791,3,220301,336236,10397,811.472372,143939,63,49.41,37.53,111.16,NA
2019-2020,July,31,UTTAR PRADESH,3138,JALAUN,1755921,160.74968315467,29,187,45.309764623,3219,2,11528,1549652,512259,104563,1092,386,21.26274,2557.633184623,51818,73884,131240,292585,24,213998,442502,14747,2491.06068,574075,51,82.7,76.2,104.43,NA
