fin_year,month,state_code,state_name,district_code,district_name,Approved_Labour_Budget,Average_Wage_rate_per_day_per_person,Average_days_of_employment_provided_per_Household,Differently_abled_persons_worked,Material_and_skilled_Wages,Number_of_Completed_Works,Number_of_GPs_with_NIL_exp,Number_of_Ongoing_Works,Persondays_of_Central_Liability_so_far,SC_persondays,SC_workers_against_active_workers,ST_persondays,ST_workers_against_active_workers,Total_Adm_Expenditure,Total_Exp,Total_Households_Worked,Total_Individuals_Worked,Total_No_of_Active_Job_Cards,Total_No_of_Active_Workers,Total_No_of_HHs_completed_100_Days_of_Wage_Employment,Total_No_of_JobCards_issued,Total_No_of_Workers,Total_No_of_Works_Takenup,Wages,Women_Persondays,percent_of_Category_B_Works,percent_of_Expenditure_on_Agriculture_Allied_Works,percent_of_NRM_Expenditure,percentage_payments_gererated_within_15_days,Remarks
2019-2020,Aug,31,UTTAR PRADESH,3117,BULANDSHAHR,102983,162.876794655914,17,15,31.86539598,644,49,2701,180536,43288,9242,0,0,6.32615,332.24279598,10476,11617,26261,36474,6,110310,142823,3345,294.05125,45106,10,85.61,90.8,102.28,NA
2019-2020,Aug,31,UTTAR PRADESH,3126,PILIBHIT,1549974,175.368498887911,24,162,1669.850894363,3731,1,8106,1345216,245415,48900,2587,501,129.38299,4158.318990363,55684,66889,136934,232056,99,292079,428187,11837,2359.085106,262394,61,63.57,66.88,100.33,NA
2019-2020,Aug,31,UTTAR PRADESH,3133,RAE BARELI,2464252,167.198914617122,30,131,1504.24931572,9743,0,14398,1970641,620810,110453,4288,792,192.7697,4991.90937872,64152,75598,173724,317716,348,319066,525913,24141,3294.890363,745105,52,48.08,50.22,100.06,NA
2019-2020,Aug,31,UTTAR PRADESH,3134,FARRUKHABAD,774944,178.046965759619,29,37,121.982266201,2659,0,7082,873530,104211,14136,685,62,49.2865,1726.562426201,29767,33407,66513,90906,11,156471,199713,9741,1555.29366,205140,58,90.57,73.49,102.18,NA
2019-2020,Aug,31,UTTAR PRADESH,3135,ETAWAH,889038,167.270246852573,26,33,162.412923711,3478,0,7105,746721,301865,42672,1488,157,52.5482,1464.003183711,28124,30895,66541,98527,38,148977,201168,10583,1249.04206,164445,59,47.23,65.44,108.71,NA
2019-2020,Aug,31,UTTAR PRADESH,3139,JHANSI,2039055,174.008635884953,44,134,1301.588131999,3673,1,7671,1799445,589504,77008,20302,1734,181.29157,4614.069399999,40355,57394,102585,210804,969,191579,378088,11344,3131.189698,680243,46,72.31,63.16,102.27,NA
2019-2020,Aug,31,UTTAR PRADESH,3147,GONDA,3015100,181.060791690448,35,96,4442.061573058,6389,169,16527,2896233,527789,52325,7587,492,390.466,10076.469972058,80460,85095,191653,236043,155,340042,407574,22916,5243.942399,1091535,64,64.83,60.78,116.76,NA
2019-2020,Aug,31,UTTAR PRADESH,3153,BASTI,3815504,178.006735926404,28,102,2041.070864176,4612,25,16747,2506218,594194,95963,1213,170,168.62917,6670.936891176,88119,102450,245825,372106,99,380572,552516,21359,4461.236857,1115882,43,73.95,70.17,101.49,NA
2019-2020,Aug,31,UTTAR PRADESH,3155,DEORIA,1979778,165.256411665579,29,44,1235.129087406,3076,21,7983,1317380,391904,47184,43507,4600,105.19924,3517.383243406,45201,47213,127383,160116,37,247706,301070,11059,2177.054916,463581,44,72.6,73.32,100.14,NA
2019-2020,Aug,31,UTTAR PRADESH,3157,AZAMGARH,3567831,177.291361831972,27,89,1480.071743522,7415,58,11928,2918385,1100521,123838,3673,488,198.15711,6852.273363522,105504,111217,247437,310918,31,504704,607817,19343,5174.04451,1231407,66,68.15,74.5,102.74,NA
2019-2020,Aug,31,UTTAR PRADESH,3158,JAUNPUR,2669918,165.301135873854,35,120,2718.137579815,8062,19,14746,3016180,1106444,100598,13634,1530,205.4404,7909.357779815,84516,89402,193775,244129,271,432242,526828,22808,4985.7798,1340049,51,71.9,71.94,103.12,NA
2019-2020,Aug,31,UTTAR PRADESH,3161,VARANASI,688438,166.992803445744,24,59,162.039766214,3544,7,7558,651006,225902,54003,3020,514,48.16306,1297.335996214,26684,33348,70369,133032,31,159176,256836,11102,1087.13317,317952,62,48.57,43.2,105.49,NA
2019-2020,Aug,31,UTTAR PRADESH,3162,MIRZAPUR,1867821,168.186915273372,32,62,898.604359502,4292,1,16477,1548309,634905,114525,15333,2535,111.72258,3614.380085502,47479,62695,127051,237139,81,309618,517060,20769,2604.053146,685976,69,66.35,55.52,101.01,NA
2019-2020,Aug,31,UTTAR PRADESH,3167,AMROHA,1197612,171.668051161192,25,82,729.04627852,2738,6,2286,1233904,337836,52219,236,35,80.06699,2927.33221852,48414,62054,102616,176707,130,154551,249869,5024,2118.21895,309282,9,82.7,84.66,100.54,NA
2019-2020,Aug,31,UTTAR PRADESH,3174,SANT KABEER NAGAR,2493120,177.673390412733,34,37,1317.124565117,5792,6,7665,2470944,797439,92172,4043,515,186.75198,5894.086525117,70726,83674,153921,263080,185,287147,449053,13457,4390.20998,1093248,60,70.18,73.11,100.59,NA
2019-2020,Aug,31,UTTAR PRADESH,3180,KASHGANJ,892859,172.594921600102,30,94,788.956223633,2005,1,2154,940690,198028,23392,1105,64,81.15875,2493.698141633,30544,36111,58917,107868,118,132439,209023,4159,1623.583168,241938,19,65.97,90.32,101.15,NA
2019-2020,Aug,31,UTTAR PRADESH,3181,AMETHI,1674084,171.856709762145,30,52,1215.795264498,7829,5,17108,1197032,314383,55900,4948,792,112.26724,3385.242314498,39148,46016,113584,190578,46,238279,362561,24937,2057.17981,414947,73,67.24,43.29,110.43,NA
2019-2020,June,31,UTTAR PRADESH,3110,MORADABAD,593471,129.268939693022,23,100,102.157512628,2284,85,3080,835890,198258,33494,240,34,24.538,1207.241652628,35285,42581,87864,140199,8,162716,239325,5364,1080.54614,258964,35,85.88,78.58,101.86,NA
2019-2020,June,31,UTTAR PRADESH,3111,RAMPUR,513053,135.778236074847,21,45,11.897,722,27,4496,713511,160308,26925,673,151,7.9803,988.66995,33917,36507,82734,114812,1,165063,216516,5218,968.79265,122477,27,50.13,53.33,149.85,NA
2019-2020,June,31,UTTAR PRADESH,3118,ALIGARH,675747,141.948230706828,16,63,23.6726244,569,79,3490,528827,170580,44921,517,171,28.94475,803.2779444,31807,34772,103493,145896,0,199368,268781,4059,750.66057,129439,20,82.15,86.06,103.35,NA
2019-2020,June,31,UTTAR PRADESH,3120,AGRA,680441,133.467021703987,21,67,6.272,760,25,2532,729313,241111,37990,5618,876,9.70151,989.36585,33973,39939,75815,112065,0,162042,220319,3292,973.39234,219781,34,85.93,86.21,100.04,NA
2019-2020,June,31,UTTAR PRADESH,3124,BUDAUN,1182633,159.23624177185,22,104,27.1758152,3757,54,9557,683173,110484,42003,639,101,32.58982,1147.6246452,30664,33115,129311,181679,7,261675,347794,13314,1087.85901,150684,56,71.11,51.66,106.97,NA
2019-2020,June,31,UTTAR PRADESH,3125,BAREILLY,821973,128.522670789936,18,113,9.99492,1778,30,7943,602758,149003,58022,24,55,15.5532,800.2288,33027,37402,130749,216175,11,268574,398249,9721,774.68068,103639,38,75.79,76.27,103.17,NA
2019-2020,June,31,UTTAR PRADESH,3129,SITAPUR,2594930,156.794436016975,21,213,123.169884049,14615,6,25810,1582787,550362,298347,2120,844,80.12366,2685.015494049,73177,93268,338279,673891,4,643893,1126976,40425,2481.72195,458333,72,72.69,36.35,106.83,NA
2019-2020,June,31,UTTAR PRADESH,3134,FARRUKHABAD,409626,169.848452964323,22,26,6.048,1663,3,7037,507519,58048,14121,435,62,22.10268,890.16385,22760,25682,65864,90279,5,155140,198288,8700,862.01317,129955,59,91.96,64.29,100.87,NA
2019-2020,June,31,UTTAR PRADESH,3136,KANPUR DEHAT,605593,149.266469337508,21,78,17.033445,1416,7,8530,333453,106383,53391,2022,846,6.01465,520.781615,15339,17283,72810,128581,0,219979,335901,9946,497.73352,100623,64,48.96,27.68,114.63,NA
2019-2020,June,31,UTTAR PRADESH,3139,JHANSI,1077819,168.308757726093,35,111,25.7356165,1809,10,8198,1075576,360008,76972,13365,1738,109.65796,1945.6821805,30723,43081,102463,210690,232,191360,377821,10007,1810.288604,413386,43,79.95,72.23,103.56,NA
2019-2020,June,31,UTTAR PRADESH,3143,FATEHPUR,1230427,143.427924833078,29,102,12.208,5684,20,14093,1094524,392036,93982,91,20,44.772,1626.83306,37013,41442,142212,209521,45,276094,381183,19777,1569.85306,450130,73,73.27,50.03,102.25,NA
2019-2020,June,31,UTTAR PRADESH,3146,BAHRAICH,1773248,160.848958465837,30,144,473.394767272,9480,3,15865,2507791,387742,69382,9662,3012,93.132,4600.282471272,81505,99991,222331,358009,80,463434,665420,25345,4033.755704,895281,86,68.06,52.93,101.01,NA
2019-2020,June,31,UTTAR PRADESH,3147,GONDA,1593744,156.969840871155,33,87,1511.250436418,3732,226,17465,2392778,433030,52350,6275,492,78.656,5345.846255418,71149,75110,191354,235763,18,338749,406268,21197,3755.939819,910799,64,67,61.29,117.35,NA
2019-2020,June,31,UTTAR PRADESH,3148,BARABANKI,1252012,165.156439893589,27,49,230.282635458,4101,16,7767,1130337,458330,121728,656,146,61.48836,2158.595343458,41192,47794,177724,293998,39,455779,656199,11868,1866.824348,328647,52,66.9,67.93,100,NA
2019-2020,June,31,UTTAR PRADESH,3153,BASTI,2016827,139.361000718231,25,80,22.124003028,1958,110,17749,1968726,462875,95974,953,170,98.71591,2864.476168028,75903,87963,245371,371680,39,379724,551611,19707,2743.636255,883200,42,79.76,73.55,100.43,NA
2019-2020,June,31,UTTAR PRADESH,3155,DEORIA,1046486,138.119467164066,22,33,51.441869205,2009,105,7266,685164,200753,47137,22066,4594,19.28225,1017.068985205,30250,31536,126685,159317,3,246374,299583,9275,946.344866,248367,41,63.49,62.67,99.99,NA
2019-2020,June,31,UTTAR PRADESH,3161,VARANASI,363900,152.469070757186,19,32,17.1382,1676,68,7317,351512,113655,53588,2123,517,18.09271,571.17799,17973,21982,69890,132379,2,158433,255844,8993,535.94708,173225,60,59.29,36.89,103.11,NA
2019-2020,June,31,UTTAR PRADESH,3162,MIRZAPUR,987307,146.123574923812,26,41,19.59626,2899,5,14201,853814,351932,114112,7753,2491,13.78888,1281.00868,31745,41472,125961,235686,28,307641,514316,17100,1247.62354,384829,70,76.27,52.4,100.33,NA
2019-2020,June,31,UTTAR PRADESH,3165,BAGHPAT,25040,135.201097804391,15,2,0.112,40,86,612,12024,3537,2999,0,6,0.112,16.48058,779,877,6059,8933,1,32415,44862,652,16.25658,3557,5,20.27,65.3,110.85,NA
2019-2020,June,31,UTTAR PRADESH,3169,AURAIYA,382680,155.11524696245,21,18,11.424,1134,22,7735,305674,112784,47037,1277,427,19.326,504.89698,14422,15903,65220,97592,2,133642,187183,8869,474.14698,104562,77,76.17,35.3,112.34,NA
2019-2020,June,31,UTTAR PRADESH,3171,CHANDAULI,882962,133.806112635811,25,90,15.568,2235,30,10102,796514,247074,74453,2792,1031,12.1744,1093.52682,31049,42341,97796,210809,3,239323,450620,12337,1065.78442,282626,60,64.02,49.2,101.69,NA
2019-2020,June,31,UTTAR PRADESH,3180,KASHGANJ,471954,142.080872485397,23,90,3.472,1094,2,2187,616996,132661,23402,889,64,21.9664,902.0717,26209,30681,58780,107764,16,132106,208693,3281,876.6333,160389,18,67.85,89.71,100.56,NA
2019-2020,April,31,UTTAR PRADESH,3114,MUZAFFARNAGAR,48712,114.296160288623,8,0,0,100,355,929,15522,3728,10382,35,75,0,17.74105,1821,1865,27926,34327,0,82901,102323,1029,17.74105,4270,2,16.71,25.75,102.98,NA
2019-2020,April,31,UTTAR PRADESH,3139,JHANSI,282428,92.6593154612327,21,75,0,584,86,8859,350192,117147,77046,5213,1738,0,324.48551,16305,22336,102120,210411,0,190591,376940,9443,324.48551,135202,44,80.53,64.19,107.61,NA
2019-2020,April,31,UTTAR PRADESH,3140,LALITPUR,287991,136.20143173092,19,17,0,906,25,4295,299777,60985,56458,18098,17193,0,408.300566,15447,20189,112502,223364,0,178060,335106,5201,408.300566,112949,55,61.41,50.49,100.02,NA
2019-2020,April,31,UTTAR PRADESH,3154,GORAKHPUR,355174,194.581209428086,13,13,0,867,395,9737,175306,38874,66758,329,722,0,341.112535,13268,14735,160673,230284,0,380217,503031,10604,341.112535,70157,61,66.52,43.69,114.78,NA
2019-2020,April,31,UTTAR PRADESH,3157,AZAMGARH,494177,135.521573328399,15,42,0.002242,1690,790,13377,497188,171064,122923,303,445,0,673.799242,32325,33910,244821,308182,0,494654,597120,15067,673.797,209547,73,59.77,53.85,103.24,NA
2019-2020,April,31,UTTAR PRADESH,3161,VARANASI,95355,131.249814962033,17,7,0,645,239,7615,109437,29583,53385,1182,517,0,143.63586,6361,7939,69457,131794,0,157709,254893,8260,143.63586,52448,63,78.12,15.71,102.81,NA
2019-2020,April,31,UTTAR PRADESH,3183,SHAMLI,23750,209.614123957092,12,0,0,40,194,1157,6712,470,2396,0,13,0,14.0693,528,542,17673,21088,0,38108,44944,1197,14.0693,1558,12,15.49,42.99,100,NA
2019-2020,Feb,31,UTTAR PRADESH,3111,RAMPUR,1785332,181.213291147943,44,62,1255.600809588,3904,1,5440,2399883,524138,27266,3445,153,232.7921,5837.299877588,53585,59186,84038,116121,635,167724,219288,9344,4348.906968,434437,31,49.94,56.29,124.74,NA
2019-2020,Feb,31,UTTAR PRADESH,3118,ALIGARH,2351479,179.686056553526,37,104,492.939040448,2073,14,4154,2322826,742719,45376,2976,173,172.72129,4839.454770448,62306,69432,105340,147978,304,202284,272046,6227,4173.79444,562622,21,72.08,82.33,103.75,NA
2019-2020,Feb,31,UTTAR PRADESH,3134,FARRUKHABAD,1425425,184.731155624801,39,48,217.732028131,5999,0,6426,1532712,176592,14225,1076,63,84.99219,3134.120808131,38434,43246,67072,91218,21,158708,201776,12425,2831.39659,361758,56,88,74.84,101.62,NA
2019-2020,Feb,31,UTTAR PRADESH,3144,PRATAPGARH,5229620,174.349380574855,44,65,1372.447419739,17800,10,10062,5170762,2411684,130820,5186,384,386.29145,10773.930387739,115811,136826,207269,280248,1946,406365,538797,27862,9015.191518,2227858,80,55.99,52.07,110.49,NA
2019-2020,Feb,31,UTTAR PRADESH,3146,BAHRAICH,6170590,180.328737364624,49,197,2390.285424965,24960,0,10874,6378619,980101,69060,38145,3009,634.09592,14526.864448965,130080,162738,222989,357604,2357,480463,683060,35834,11502.483104,2168390,87,63.78,50.59,101.07,NA
2019-2020,Feb,31,UTTAR PRADESH,3151,SIDDHARTH NAGAR,9081042,181.592629746859,46,107,4309.229022871,7437,0,9821,8043740,1673744,77084,9709,345,663.18461,19579.252628871,173948,195009,257393,344606,1188,380591,492521,17258,14606.838996,3962193,30,55.44,59.78,103.46,NA
2019-2020,Feb,31,UTTAR PRADESH,3153,BASTI,7018202,172.019070457984,49,161,2276.310977397,11638,11,17406,7589587,1756107,95969,3497,170,454.34276,15786.190746397,153066,181303,247967,373940,3269,385906,558127,29044,13055.537009,3342796,39,70.02,64.26,101.26,NA
2019-2020,Feb,31,UTTAR PRADESH,3158,JAUNPUR,4911023,174.328036990774,50,192,3282.388731838,14608,4,19099,6282864,2397869,101554,34131,1527,549.44615,14784.628359838,125147,132547,196301,246659,3076,449008,544045,33707,10952.793478,2804452,50,69.44,65.38,101.73,NA
2019-2020,Feb,31,UTTAR PRADESH,3160,GHAZIPUR,4443031,172.44021335314,42,105,703.438110367999,6009,1,12627,4232982,1067592,74864,28455,1547,260.51989,8263.321192368,100697,118373,164838,265140,1646,366739,553007,18636,7299.363192,1543348,55,63.76,56.52,111.3,NA
2019-2020,Feb,31,UTTAR PRADESH,3178,AMBEDKAR NAGAR,3198355,177.660246857288,44,45,1405.777764782,5449,2,4571,2982695,1062284,91537,7144,510,248.6658,6953.506864782,66790,78903,116855,204215,1057,261802,409834,10020,5299.0633,1182082,67,80.95,68.37,100.19,NA
2019-2020,March,31,UTTAR PRADESH,3111,RAMPUR,1885000,184.174561032398,45,62,1646.76188161599,5202,1,4387,2441695,535063,27222,3463,153,287.63765,6431.38057961599,53945,59599,83942,115903,706,167754,219138,9589,4496.981048,442208,31,48.23,54.55,124.25,NA
2019-2020,March,31,UTTAR PRADESH,3124,BUDAUN,4345098,187.065297175657,47,374,954.960129558,9945,2,8511,3964709,761797,42401,3432,110,406.9299,8778.484702558,84016,93087,133806,186238,1984,267803,353997,18456,7416.594673,752297,51,73.73,70.25,105.96,NA
2019-2020,March,31,UTTAR PRADESH,3130,HARDOI,8827233,184.098650867294,52,227,2333.419344703,16425,2,12099,7976013,2852351,138767,7390,366,778.19799,17795.349660703,151325,165730,252137,350941,3263,592021,758647,28524,14683.732326,1717835,59,67.05,66.49,108.21,NA
2019-2020,March,31,UTTAR PRADESH,3141,HAMIRPUR,3006000,184.896216828797,53,85,2311.401029704,6632,0,8397,3053100,670614,49382,1156,77,249.62464,8206.092065704,56776,83999,91313,180706,2781,171078,324741,15029,5645.066396,1190698,53,63.72,69.25,106.79,NA
2019-2020,Oct,31,UTTAR PRADESH,3183,SHAMLI,227253,182.13652797499,31,7,102.233030699,569,1,1113,251421,22347,2451,81,13,6.69344,566.855950699,8064,8653,18573,22111,69,39612,46621,1682,457.92948,71007,13,55.67,80.92,105.66,NA
2019-2020,Dec,31,UTTAR PRADESH,3118,ALIGARH,1905649,174.279932648343,33,100,478.636730448,1874,14,3810,1934919,612206,45287,2467,173,138.36432,3989.176580448,57367,63698,104949,147555,141,201352,271028,5684,3372.17553,473228,21,74.85,87.57,104.24,NA
2019-2020,Dec,31,UTTAR PRADESH,3123,MAINPURI,1956512,172.329160623388,39,104,253.039809316,5146,8,4893,1834683,554030,42748,1830,153,118.70734,3533.440963316,46152,54902,88844,132754,513,164342,231601,10039,3161.693814,503047,59,70.19,69.51,103.33,NA
2019-2020,Dec,31,UTTAR PRADESH,3125,BAREILLY,2318015,172.474937393755,32,209,469.389221265,10249,0,10435,2312469,586649,57077,630,55,91.47885,4549.297531265,71793,84747,130290,214729,613,262797,390473,20684,3988.42946,370958,51,74.65,79.13,102.69,NA
2019-2020,Dec,31,UTTAR PRADESH,3128,KHERI,4439263,175.144225587472,38,436,1074.837845175,14974,0,18531,5060281,1687898,152335,52637,6169,306.65488,10244.282695175,131391,161788,246196,407766,951,539213,779306,33505,8862.78997,1261044,71,80.74,67.4,100.45,NA
2019-2020,Dec,31,UTTAR PRADESH,3129,SITAPUR,7317867,172.112139640197,40,503,2703.14183119,29965,1,32586,6906951,2530480,299870,8561,849,526.54203,15117.38501119,170523,225393,344170,681308,1247,654415,1140329,62551,11887.70115,1936103,74,67.82,47.82,104.63,NA
2019-2020,Dec,31,UTTAR PRADESH,3131,UNNAO,3374538,177.125992281732,43,137,1101.881317401,7787,1,13179,3200200,1024094,78591,8336,522,284.51787,7054.785192401,74347,83459,145990,213167,1272,379473,496505,20966,5668.386005,861725,68,78.95,68.97,100.26,NA
2019-2020,Dec,31,UTTAR PRADESH,3133,RAE BARELI,3673338,171.989465260367,41,162,1613.173362232,13688,0,13887,3494467,1121158,110566,7464,791,313.7554,7937.043869232,85018,102363,174240,317861,2200,321510,528314,27575,6010.115107,1269461,49,50.89,52.51,100.07,NA
2019-2020,Dec,31,UTTAR PRADESH,3138,JALAUN,3434808,178.384344671726,44,277,1796.741490859,6043,0,10683,3157120,1016060,104624,2512,383,159.92356,7588.472873359,71665,105407,131971,293182,463,216206,445242,16726,5631.8078225,1140746,51,73.17,66.05,104.87,NA
2019-2020,Dec,31,UTTAR PRADESH,3139,JHANSI,3039517,180.737281478403,54,167,1444.442427499,4818,0,8431,2718610,868573,77010,29148,1723,312.72438,6670.708615499,49600,71366,102680,210794,2926,193112,380408,13249,4913.541808,1013251,46,72.52,57.19,101.96,NA
2019-2020,Dec,31,UTTAR PRADESH,3148,BARABANKI,3530752,168.360577657836,42,97,2083.011415108,7389,0,11146,3785909,1492229,122014,1849,146,320.85936,8777.849037108,89312,106879,178417,294781,1415,456826,657435,18535,6373.978262,1048325,55,55.53,59.76,100,NA
2019-2020,Dec,31,UTTAR PRADESH,3152,MAHARAJGANJ,5296128,172.599573026053,39,602,1669.065626605,10709,0,8654,5478086,1362841,102025,26216,2573,343.99864,11468.217312605,137093,172391,220810,397557,901,347227,581067,19363,9455.153046,2148482,68,74.11,68.5,101.82,NA
2019-2020,Dec,31,UTTAR PRADESH,3154,GORAKHPUR,3822423,174.211255972075,39,100,1030.035572498,6980,2,8855,3440387,881791,67504,8693,731,252.35466,7275.931635498,87777,96694,163629,233458,534,389199,512715,15835,5993.541403,1334889,55,61.83,64.01,106.01,NA
2019-2020,Dec,31,UTTAR PRADESH,3160,GHAZIPUR,3600651,163.364561532286,36,93,693.358110367999,4429,1,12479,3386783,840682,74873,21529,1542,186.2059,6412.367208368,92098,107911,164795,265100,844,359390,544817,16908,5532.803198,1228961,55,62.52,58.91,112.45,NA
2019-2020,Dec,31,UTTAR PRADESH,3163,SONBHADRA,3146975,178.622380941304,37,184,1537.395890515,9617,2,14055,3095091,852495,123296,915440,123673,191.78029,7257.701417015,82393,118030,158542,388340,944,348567,767179,23672,5528.5252365,1435114,74,83.27,64.8,100.39,NA
2019-2020,Dec,31,UTTAR PRADESH,3168,KANNAUJ,1387739,180.166376668903,35,125,216.02309347,7185,0,11254,1476793,475539,50901,657,59,123.64244,3000.34997247,42012,48027,82740,126813,182,150845,212693,18439,2660.684439,318621,59,74.4,59.62,105.3,NA
2019-2020,Dec,31,UTTAR PRADESH,3172,KUSHI NAGAR,4125607,178.208494091759,41,266,1966.299686566,10127,1,20234,4544500,1316191,98307,6462,444,353.56955,10418.554250566,110610,131163,193895,307498,708,413237,590995,30361,8098.685014,1561779,43,77.52,70.44,105.67,NA
